date,wsj_mean_compound,cnbc_mean_compound,fortune_mean_compound,reuters_mean_compound,Adj Close
2018/2/28,-0.004011728,0.063963976,0.081618182,0.07162066,2713.830078
2018/3/1,0.024845695,0.086059454,-0.011529545,0.063434573,2677.669922
2018/3/2,-0.068384328,0.033122861,-0.07875098,0.002983218,2691.25
2018/3/5,0.02047561,0.04832,0.074090909,0.051298121,2720.939941
2018/3/6,-0.043751079,0.053185769,0.034690164,0.030498075,2728.120117
2018/3/7,-0.024239189,0.03809036,0.075020313,-0.000693722,2726.800049
2018/3/8,-0.057467763,0.057443462,0.004526667,0.047543594,2738.969971
2018/3/9,0.035880645,0.045256276,-0.034106818,0.03344799,2786.570068
2018/3/12,-0.017155319,0.072729195,-0.037471875,-0.008418494,2783.02002
2018/3/13,-0.002897842,0.054818735,0.083,-0.026863235,2765.310059
2018/3/14,-0.031202439,0.0474775,-0.077773333,-0.036306336,2749.47998
2018/3/15,-0.051182979,0.065106889,-0.045446667,-0.042773415,2747.330078
2018/3/16,0.020987943,0.030551751,-0.02173,-0.015946243,2752.01001
2018/3/19,-0.016514815,0.0798279,-0.0386725,-0.014312882,2712.919922
2018/3/20,-0.052221893,0.08522141,0.001592857,-0.016844925,2716.939941
2018/3/21,-0.045264375,0.06425811,0.049284127,-0.018323043,2711.929932
2018/3/22,-0.020695783,0.060100993,-0.030430769,-0.043550367,2643.689941
2018/3/23,0.019836774,0.015203591,-0.009567568,-0.045607728,2588.26001
2018/3/26,-0.047522609,0.02118574,-0.112989655,0.030495815,2658.550049
2018/3/27,-0.006528387,0.053966538,0.035959524,0.031183467,2612.620117
2018/3/28,0.016098387,0.055945943,-0.120938776,0.045931737,2605
2018/3/29,0.003064968,0.065013586,-0.047356757,0.050176264,2640.870117
2018/4/2,0.023072941,0.028017308,0.03455641,0.047198203,2581.879883
2018/4/3,-0.012418571,0.056346131,-0.04456,0.028014586,2614.449951
2018/4/4,-0.077757463,0.016752934,-0.052515,0.031618051,2644.689941
2018/4/5,-0.004758,0.034874699,-0.080088462,0.013687734,2662.840088
2018/4/6,-0.080159722,0.021511947,0.004081395,0.006264374,2604.469971
2018/4/9,-0.024863014,0.032764433,-0.00112,0.023910071,2613.159912
2018/4/10,-0.013858025,0.042041011,0.000555172,0.031956504,2656.870117
2018/4/11,-0.015332759,0.047674967,-0.039543636,-0.001699087,2642.189941
2018/4/12,-0.02613224,0.061349478,-0.086436842,0.025573973,2663.98999
2018/4/13,-0.029006667,0.082086181,-0.028030435,0.037412845,2656.300049
2018/4/16,-0.026013889,0.075105357,-0.004526316,0.01588502,2677.840088
2018/4/17,0.019844242,0.06622799,0.084352727,0.016187513,2706.389893
2018/4/18,-0.007391954,0.047399238,0.070194118,0.049515549,2708.639893
2018/4/19,-0.026427326,0.056476162,-0.00655,0.050484825,2693.129883
2018/4/20,-0.070095263,0.042093426,0.032173913,0.037364297,2670.139893
2018/4/23,0.039492174,0.066126722,-0.017921429,-0.020598214,2670.290039
2018/4/24,0.074978947,-0.016578313,-0.17,0.132029117,2634.560059
2018/4/25,0.03561407,0.060067099,0.021663265,0.070354903,2639.399902
2018/4/26,0.015611588,0.088093406,-0.085292857,0.100751439,2666.939941
2018/4/27,0.011026374,0.086267656,0.029011364,0.107366484,2669.909912
2018/4/30,-0.009474265,0.064056432,0.021328125,0.066076115,2648.050049
2018/5/1,-0.044863804,0.084246129,-0.013290566,0.068956196,2654.800049
2018/5/2,0.000607975,0.088057253,0.043338983,0.053705906,2635.669922
2018/5/3,0.017187879,0.066460654,0.063147727,0.06807181,2629.72998
2018/5/4,-0.001986207,0.07377687,-0.021276596,0.062084761,2663.419922
2018/5/7,-0.010827358,0.078872438,-0.033330769,0.074142058,2672.629883
2018/5/8,0.020221324,0.081977191,0.069266129,0.042805445,2671.919922
2018/5/9,0.026071676,0.08563652,0.004357971,0.053811706,2697.790039
2018/5/10,-0.016561628,0.088070536,-0.011928571,0.035412269,2723.070068
2018/5/11,-0.037979851,0.071780898,-0.028981818,0.038391579,2727.719971
2018/5/14,0.028039316,0.081710732,0.001247727,0.000582385,2730.129883
2018/5/15,-0.022710615,0.075155304,-0.013452174,0.001953041,2711.449951
2018/5/16,0.030182209,0.082823008,-0.018933333,0.018274248,2722.459961
2018/5/17,-0.021902186,0.073129199,-0.097719048,-0.002199871,2720.129883
2018/5/18,-0.004144571,0.070247344,-0.028344186,0.021115241,2712.969971
2018/5/21,0.029764463,0.080438506,0.078447619,-0.009075689,2733.01001
2018/5/22,-0.023471875,0.069255181,0.005617544,-0.014442363,2724.439941
2018/5/23,0.025745856,0.067046038,-0.074791935,0.006909671,2733.290039
2018/5/24,0.02849899,0.040594665,-0.05929661,0.001650814,2727.76001
2018/5/25,0.03029023,0.047433279,0.01155,-0.025190309,2721.330078
2018/5/29,-0.052795588,0.070442385,-0.025721429,-0.035568443,2689.860107
2018/5/30,-0.017367273,0.038118966,-0.076964516,-0.063177411,2724.01001
2018/5/31,-0.018636364,0.057370669,-0.064137931,-0.025489242,2705.27002
2018/6/1,0,-0.06115,0.3612,-0.004489474,2734.620117
